id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;ten_km_trib_amount;ten_km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id
I. Бассейн р. Оби от впадения р. Алея до устья р. Томи;;;;;;;;;;;
300;Хмелевка (Каменушка) ;Аламбай;(пр);35;28;228;40;60;;;
301;Хмелевка;Хмелевка;»;18;10;;16;34;;;
302;Залесиха;Аламбай;»;29;10;;1;2;;;
303;Боровлянка;»;(лв);24;21;157;11;30;;;
304;Казанка;Чумыш;»;250;29;76.9;8;18;;;172
304а;балка без названия;Казанка;»;—;1.2;;;;;;173
305;Татарка;Чумыш;(пр);242;62;637;84;171;;;
306;Бобровка;Татарка;(лв);64;15;;40;50;;;
307;Каменушка;»;(пр);56;11;;7;13;;;
308;Кочегарка;»;(лв);54;13;;13;15;;;
309;Увальная;»;(пр);17;16;;4;8;;;
310;Гоношиха;Чумыш;(лв);232;30;120;4;8;;;
311;Матвеевка (Бол. Матвеевка);»;»;227;21;95;1;8;;;
312;Бердюжиха;»;»;215;16;65;1;1;;;
313;Мельничная;»;(пр);212;13;;5;4;;;
314;Федоровка ;»;(лв);210;12;56.6;2;3;;;
315;Безголовая;»;»;200;16;41.3;1;1;;;
316;Крутиха;Безголовая ;»;1;17;45;—;—;;;174
317;Каменка;Чумыш;(пр);191;78;1150;111;162;;;175
318;Выдриха (Бол. Выдриха);Каменка;»;50;29;;56;85;;;
319;Мал. Выдриха (Выдриха);Выдриха;»;14;16;;25;43;;;
320;Пещерка;Каменка;»;42;20;;46;71;;;
321;Жерновка;Каменка;(лв);26;22;;18;39;;;
322;Худая;Жерновка;»;5;10;;2;3;;;
323;Урап;Каменка;(пр);7;60;452;89;160;;;
324;Дресвянка;Урап;»;32;21;;36;56;;;
325;Мамонтиха;»;»;30;12;;13;24;;;
326;Тундриха;Чумыш;»;186;19;;1;3;;;
327;Талица;»;»;159;36;461;18;44;;;
328;Петушиха;Талица;»;43;10;;1;2;;;
329;Елизариха;»;»;39;11;;9;25;;;
330;без названия;»;(лв);22;11;;4;7;;;
331;Кузьминиха;»;»;15;10;;—;—;;;
332;без названия;Чумыш ;»;157;13;;—;—;;;
333;Камышенка;»;(пр);142;16;;1;4;;;
334;Видоновка (Бобровка);»;»;128;23;118;8;16;;;
335;Инюшка (Антониха);»;(пр);121;16;;1;1;;;
336;Осиновка;Инюшка (Антониха);(лв);3;16;;—;—;;;
337;Грязнуха ;Чумыш;(пр);101;11;;2;5;;;
338;Тальменка;»;»;73;99;1660;10;28;;;176.177
339;Боровлянка (Стремигулька);Тальменка;(лв);36;69;915;18;42;;;
340;Кривая;Боровлянка;(пр);41;21;121;5;14;;;
341;Улыбердь (Саева);»;»;20;54;462;11;45;;;
342;Болотная ;Улыбердь;(лв);16;10;;2;4;;;
