id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;10km_trib_amount;10km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id;;;;;
Бассейн р. Бия;;;;;;;;;;;
304;Катунь;Обь;(лв);3647;688;60900;254;708;2649;137;33-49
305;Капчал;Катунь;(пр);680;11;;9;15;;;
306;Узун-Карасу;»;»;657;14;;7;15;;;
307;Ускучевка;»;(лв);651;12;;—;—;;;
308;Верх. Кураган;»;(пр);648;24;;15;42;;;
309;Быстрая;»;»;642;20;;30;58;;;
310;Сакалсу;Быстрая;(лв);1;19;;10;17;;;
311;Суетка;Катунь;»;641;17;;15;28;;;
312;Огневка;»;»;629;18;;21;35;;;
313;Зайчиха;»;(пр);606;23;;20;33;;;
314;Озерная;»;»;600;22;;32;54;;;
315;без названия;Озерная;(лв);14;16;;26;53;;;
316;Медвежья;»;»;5;14;;24;36;;;
;Малые притоки;оз. Тальмень;;;;;19;53;;;
317;Тихая;Катунь;(лв);596;43;;40;74;;;
318;Тополевка;Тихая;(пр);29;20;;16;39;;;
319;Толкуша;Тополевка;(лв);4;13;;19;28;;;
320;Таловочка;Тихая;»;16;12;;9;14;;;
321;без названия;Катунь;(пр);587;12;;13;14;;;
322;Тихая (Большая);»;»;583;27;;29;56;;;
323;Луковка (Ауковка);»;»;578;10;;11;28;;;
324;Зеленка (Красненькая Зеленка);»;(лв);576;36;;39;71;;;
325;Татарка;Зеленка;»;26;13;;3;9;;;
326;Маралиха;»;»;24;15;;11;35;;;
327;Громотуха.;Маралиха;(пр);24;11;;4;12;;;
328;без названия;Зеленка;(лв);7;12;;4;11;;;
329;Быструха;Катунь;»;563;29;;18;62;;;
330;Проездная Быструха;Быструха;(пр);12;13;;5;11;;;
331;Собачья;Катунь;»;556;22;;39;75;;;
332;Собачья Тихая;Собачья;»;7;13;;8;14;;;
333;Бирюкса (Быстрая Бирюкса);Катунь;(лв);548;44;;22;56;;;
334;Красная Бирюкса;Бирюкса;»;28;14;;3;11;;;
335;Тихая Бирюкса;»;(пр);25;23;;12;36;;;
336;Быстрая Бирюкса;»;»;20;28;;35;82;;;
337;Чудиловка;»;»;14;12;;2;7;;;
338;Михайловка;»;»;13;12;;4;9;;;
339;Сухая;»;»;6;13;;5;10;;;
340;Зайченок;Катунь;»;546;17;;14;29;;;
341;Бол. Сугаш;»;»;528;23;;17;39;;;
342;Кайтанак;»;(лв);524;24;;13;29;;;
343;Прямой Кайтанак;Кайтанак;(пр);8;11;;—;—;;;
344;Мал. Сугаш;Катунь;»;522;16;;2;11;;;
345;ручей Голодаево;»;(лв);510;12;;2;3;;;
346;Кокса (Хайдун);»;»;502;179;5600;77;218;145;2,29;50 ,51
347;без названия;Кокса (Хайдун);»;163;12;;9;16;;;
348;Коксочка;»;»;139;28;;38;70;;;
349;Ночная;Кокса;»;131;38;;35;97;;;
350;Талкаш;Ночная;(пр);22;14;;9;15;;;
351;Ламаниха;Ночная;(пр);19;10;;6;8;;;
352;Шельдян (Бол. Шельдян);»;(лв);10;14;;9;16;;;
353;Мал. Шельдян;Шельдян;(пр);4;12;;7;18;;;
354;Татарка;Кокса;(лв);128;28;;11;29;;;
355;Бол. Улучжай;»;»;115;27;;7;22;;;
356;Мал. Улучжай;Бол. Улучжай;(пр);8;15;;4;15;;;
357;Таловка;Кокса;(лв);110;11;;1;2;;;
358;Карагай (Бол. Карагай);»;(пр);97;51;462;38;95;8;0.08;
359;Мал. Карагай;Карагай;(лв);33;13;;10;21;;;
360;Ярлык;»;(пр);13;11;;5;12;;;
361;без названия;»;»;4;11;;5;И;;;
362;Банная;Кокса;»;79;36;;16;47;;;
363;Быстрая;Банная;»;17;13;;10;30;;;
364;Бол. Колбина;»;(лв);17;13;;8;19;;;
365;Черная;»;(пр);15;18;;10;20;;;
366;без названия;»;(лв);6;15;;5;11;;;
367;Сарычмень;Кокса;(пр);59;18;;5;11;;;52
368;Абай;Кокса;(лв);55;51;782;14;34;;;
369;Турулу;Абай;»;39;14;;1;4;;;
370;Ак-Карасу;»;»;36;10;;—;—;;;
371;Сугаш;»;»;31;17;;2;1;;;
372;Делдсугаш;Сугаш;»;13;18;;5;15;;;
373;Черный Сугаш;»;»;6;21;;7;33;;;
374;Камдый;»;(пр);3;12;;6;18;;;
375;Талда;Абай;(лв);13;13;;2;9;;;
376;протока Урмалык;»;(пр);8;17;;;;;;
377;без названия;теряется;—;—;15;;2;6;;;
378;Уила;Кокса;(лв);53;19;;8;21;;;
379;Юстик;»;»;44;32;;19;47;;;
380;Красноярка;»;(пр);33;49;;43;135;;;
381;Меновная;Красноярка;»;23;14;;7;12;;;
382;Барычмень;»;(лв);20;10;;2;11;;;
383;Тюдет;Кокса;(пр);36;16;;8;21;;;
384;Тюгурюк (Аксаз);»;(лв);24;62;812;43;119;71;0.89;
385;Маргала;Тюгурюк;»;33;30;;10;32;;;
386;Бол. Булухта;»;(пр);29;11;;9;20;;;
387;Бол. Карыгем;»;(лв);16;19;;15;48;;;
388;Мал. Карыгем;»;;9;14;;4;6;;;
389;протока без названия;Катунь;(лв);493;13;;;;;;
389а;Башталинка;»;;492;8;72;;;;;
390;Кастахта;»;»;490;26;149;23;49;;;
391;без названия;»;(пр);487;11;;2;4;;;
392;Бол. Окол;»;»;485;20;;9;24;;;
393;без названия;Бол. Окол;(лв);4;11;;—;—;;;
394;Бол. Терехта (Терехта);Катунь;»;475;39;438;40;103;;;53
395;Черная Терехта;Бол. Терехта;(пр);21;18;;20;60;;;
396;Терехтушка;»;(лв);13;13;;3;5;;;
397;Чиндек;Катунь;(лв);474;23;;9;20;;;
398;Мульта;Катунь;(пр);470;39;;22;66;;;
399;Крепкая;Мульта;(лв);22;12;;—;—;;;
400;Проездная Мульта;Крепкая;»;2;10;;2;3;;;
401;Куйчук;Мульта;(пр);21;10;;—;—;;;
402;Маргала;Катунь;(лв);467;15;;11;20;;;
403;Акчан;»;(пр);458;25;;4;12;;;
404;Верх. Котанда;»;(лв);444;31;;38;74;;;54
405;Нижн. Котанда;»;»;444;27;;19;45;;;
406;Кураган (Иолдо);»;(пр);442;51;648;45;126;107;5.44;55
407;без названия;Кураган;(лв);36;13;;7;14;;;
408;Караайры;Кураган;»;32;13;;16;29;;;
409;Тюнгур;Катунь;»;428;11;;—;—;;;
410;Кучерла (Кочурла);»;(пр);427;50;635;31;82;46;5.06;56.57
411;Тегеек;Кучерла;(лв);32;11;;3;8;;;
412;Бол. Калагаш;»;»;16;21;;2;3;;;
413;Мал. Калагаш;Бол. Калагаш;(пр);5;14;;3;6;;;
414;Едыкочка;Катунь;(лв);420;11;;2;2;;;
415;Турунда;»;»;412;18;;24;45;;;
416;Аккем;»;(пр);407;36;454;23;58;;;58
417;Текелю;Аккем;»;22;13;;4;6;;;
418;Араскан (Мал. Араскан);»;»;15;13;;7;21;;;
419;Берткем;Катунь;(пр);400;14;;8;16;;;
420;Казнахта;»;(лв);393;15;;21;40;;;
421;Аргут (Ак-Алаха);»;(пр);390;232;9550;170;399;950;54.69;59-62
422;Укок;Аргут (Ак-Алаха);(лв);217;18;;7;12;;;
;Малые притоки оз. Белое;;;;;;3;9;;;
423;Бетсуканас;Аргут (Ак-Алаха);(пр);214;22;;11;42;;;
424;Карабулак (Кара-Булак);»;(лв);200;24;;17;35;;;
425;без названия;»;(пр);193;11;804;4;9;;;
426;Калгуты;»;»;174;53;;17;60;68;7.08;
427;без названия;Калгуты;(лв);43;10;;6;18;;;
428;Аргамджи (Аргамжи);»;»;35;11;;9;18;;;
429;Аргамджи (Аргамжи);»;(пр);27;10;;9;18;;;
